LrhomID,GOAccession,GOName,,,,,,,,,
Lrhomboides00000001,GO:0005858,axonemal dynein complex,,,,,,,,,
Lrhomboides00000001,GO:0070286,axonemal dynein complex assembly,,,,,,,,,
Lrhomboides00000004,,,,,,,,,,,
Lrhomboides00000005,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00000005,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000005,GO:0046513,ceramide biosynthetic process,,,,,,,,,
Lrhomboides00000005,GO:0050291,sphingosine N-acyltransferase activity,,,,,,,,,
Lrhomboides00000007,GO:0016307,phosphatidylinositol phosphate kinase activity,,,,,,,,,
Lrhomboides00000007,GO:0046488,phosphatidylinositol metabolic process,,,,,,,,,
Lrhomboides00000008,GO:0016307,phosphatidylinositol phosphate kinase activity,,,,,,,,,
Lrhomboides00000008,GO:0046488,phosphatidylinositol metabolic process,,,,,,,,,
Lrhomboides00000009,GO:0061588,calcium activated phospholipid scrambling,,,,,,,,,
Lrhomboides00000011,,,,,,,,,,,
Lrhomboides00000012,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000012,GO:0022857,transmembrane transporter activity,,,,,,,,,
Lrhomboides00000012,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000013,GO:0004888,transmembrane signaling receptor activity,,,,,,,,,
Lrhomboides00000013,GO:0004930,G protein-coupled receptor activity,,,,,,,,,
Lrhomboides00000013,GO:0007166,cell surface receptor signaling pathway,,,,,,,,,
Lrhomboides00000013,GO:0007186,G protein-coupled receptor signaling pathway,,,,,,,,,
Lrhomboides00000013,GO:0014003,oligodendrocyte development,,,,,,,,,
Lrhomboides00000013,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000013,GO:0032287,peripheral nervous system myelin maintenance,,,,,,,,,
Lrhomboides00000013,GO:0048932,myelination of posterior lateral line nerve axons,,,,,,,,,
Lrhomboides00000013,GO:0070445,regulation of oligodendrocyte progenitor proliferation,,,,,,,,,
Lrhomboides00000014,,,,,,,,,,,
Lrhomboides00000015,GO:0016791,phosphatase activity,,,,,,,,,
Lrhomboides00000020,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00000020,GO:0005886,plasma membrane,,,,,,,,,
Lrhomboides00000020,GO:0007155,cell adhesion,,,,,,,,,
Lrhomboides00000020,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,,,,,,,,,
Lrhomboides00000020,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000020,GO:0098609,cell-cell adhesion,,,,,,,,,
Lrhomboides00000023,GO:0001525,angiogenesis,,,,,,,,,
Lrhomboides00000023,GO:0004222,metalloendopeptidase activity,,,,,,,,,
Lrhomboides00000023,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000023,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000023,GO:0030198,extracellular matrix organization,,,,,,,,,
Lrhomboides00000024,GO:0001525,angiogenesis,,,,,,,,,
Lrhomboides00000024,GO:0004222,metalloendopeptidase activity,,,,,,,,,
Lrhomboides00000024,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000024,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000024,GO:0030198,extracellular matrix organization,,,,,,,,,
Lrhomboides00000025,GO:0001525,angiogenesis,,,,,,,,,
Lrhomboides00000025,GO:0004222,metalloendopeptidase activity,,,,,,,,,
Lrhomboides00000025,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000025,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000025,GO:0030198,extracellular matrix organization,,,,,,,,,
Lrhomboides00000026,GO:0005516,calmodulin binding,,,,,,,,,
Lrhomboides00000026,GO:0005975,carbohydrate metabolic process,,,,,,,,,
Lrhomboides00000026,GO:0005977,glycogen metabolic process,,,,,,,,,
Lrhomboides00000027,GO:0005516,calmodulin binding,,,,,,,,,
Lrhomboides00000027,GO:0005975,carbohydrate metabolic process,,,,,,,,,
Lrhomboides00000027,GO:0005977,glycogen metabolic process,,,,,,,,,
Lrhomboides00000028,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000028,GO:2000312,regulation of kainate selective glutamate receptor activity,,,,,,,,,
Lrhomboides00000029,,,,,,,,,,,
Lrhomboides00000029,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000029,GO:0006457,protein folding,,,,,,,,,
Lrhomboides00000029,GO:0009408,response to heat,,,,,,,,,
Lrhomboides00000029,GO:0031072,heat shock protein binding,,,,,,,,,
Lrhomboides00000029,GO:0051082,unfolded protein binding,,,,,,,,,
Lrhomboides00000030,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000031,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000031,GO:0022857,transmembrane transporter activity,,,,,,,,,
Lrhomboides00000031,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000032,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000032,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00000033,GO:0005814,centriole,,,,,,,,,
Lrhomboides00000033,GO:0007005,mitochondrion organization,,,,,,,,,
Lrhomboides00000033,GO:0007268,chemical synaptic transmission,,,,,,,,,
Lrhomboides00000033,GO:0060271,cilium assembly,,,,,,,,,
Lrhomboides00000036,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000036,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000036,GO:0042626,ATPase-coupled transmembrane transporter activity,,,,,,,,,
Lrhomboides00000036,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000036,GO:0140359,ABC-type transporter activity,,,,,,,,,
Lrhomboides00000037,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,,,,,,,,,
Lrhomboides00000037,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00000037,GO:0045944,positive regulation of transcription by RNA polymerase II,,,,,,,,,
Lrhomboides00000037,GO:0046983,protein dimerization activity,,,,,,,,,
Lrhomboides00000038,,,,,,,,,,,
Lrhomboides00000039,GO:0004222,metalloendopeptidase activity,,,,,,,,,
Lrhomboides00000039,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000039,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000039,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000040,GO:0003700,DNA-binding transcription factor activity,,,,,,,,,
Lrhomboides00000040,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000040,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000040,GO:0043565,sequence-specific DNA binding,,,,,,,,,
Lrhomboides00000041,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000041,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000041,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000043,GO:0004930,G protein-coupled receptor activity,,,,,,,,,
Lrhomboides00000043,GO:0004968,gonadotropin-releasing hormone receptor activity,,,,,,,,,
Lrhomboides00000043,GO:0007186,G protein-coupled receptor signaling pathway,,,,,,,,,
Lrhomboides00000043,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000043,GO:0016500,protein-hormone receptor activity,,,,,,,,,
Lrhomboides00000044,GO:0004222,metalloendopeptidase activity,,,,,,,,,
Lrhomboides00000044,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000044,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000044,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000045,,,,,,,,,,,
Lrhomboides00000046,,,,,,,,,,,
Lrhomboides00000048,GO:0004462,lactoylglutathione lyase activity,,,,,,,,,
Lrhomboides00000048,GO:0046872,metal ion binding,,,,,,,,,
Lrhomboides00000049,GO:0000166,nucleotide binding,,,,,,,,,
Lrhomboides00000049,GO:0004812,aminoacyl-tRNA ligase activity,,,,,,,,,
Lrhomboides00000049,GO:0004818,glutamate-tRNA ligase activity,,,,,,,,,
Lrhomboides00000049,GO:0004827,proline-tRNA ligase activity,,,,,,,,,
Lrhomboides00000049,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000049,GO:0005737,cytoplasm,,,,,,,,,
Lrhomboides00000049,GO:0006412,translation,,,,,,,,,
Lrhomboides00000049,GO:0006418,tRNA aminoacylation for protein translation,,,,,,,,,
Lrhomboides00000049,GO:0006424,glutamyl-tRNA aminoacylation,,,,,,,,,
Lrhomboides00000049,GO:0006433,prolyl-tRNA aminoacylation,,,,,,,,,
Lrhomboides00000049,GO:0043039,tRNA aminoacylation,,,,,,,,,
Lrhomboides00000050,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000050,GO:0006281,DNA repair,,,,,,,,,
Lrhomboides00000050,GO:0008081,phosphoric diester hydrolase activity,,,,,,,,,
Lrhomboides00000051,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00000051,GO:0003691,double-stranded telomeric DNA binding,,,,,,,,,
Lrhomboides00000051,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000051,GO:0045893,"positive regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000052,GO:0003777,microtubule motor activity,,,,,,,,,
Lrhomboides00000052,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000052,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000052,GO:0007018,microtubule-based movement,,,,,,,,,
Lrhomboides00000052,GO:0008017,microtubule binding,,,,,,,,,
Lrhomboides00000054,GO:0007218,neuropeptide signaling pathway,,,,,,,,,
Lrhomboides00000054,GO:0007268,chemical synaptic transmission,,,,,,,,,
Lrhomboides00000055,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000055,GO:0016491,oxidoreductase activity,,,,,,,,,
Lrhomboides00000056,GO:0003735,structural constituent of ribosome,,,,,,,,,
Lrhomboides00000057,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00000057,GO:0004713,protein tyrosine kinase activity,,,,,,,,,
Lrhomboides00000057,GO:0004714,transmembrane receptor protein tyrosine kinase activity,,,,,,,,,
Lrhomboides00000057,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000057,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000057,GO:0005887,integral component of plasma membrane,,,,,,,,,
Lrhomboides00000057,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00000057,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,,,,,,,,,
Lrhomboides00000057,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000058,GO:0004691,cAMP-dependent protein kinase activity,,,,,,,,,
Lrhomboides00000058,GO:0005085,guanyl-nucleotide exchange factor activity,,,,,,,,,
Lrhomboides00000058,GO:0035023,regulation of Rho protein signal transduction,,,,,,,,,
Lrhomboides00000059,GO:0004691,cAMP-dependent protein kinase activity,,,,,,,,,
Lrhomboides00000059,GO:0035023,regulation of Rho protein signal transduction,,,,,,,,,
Lrhomboides00000060,GO:0007268,chemical synaptic transmission,,,,,,,,,
Lrhomboides00000060,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000060,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000060,GO:0022857,transmembrane transporter activity,,,,,,,,,
Lrhomboides00000060,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000062,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000062,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000062,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000063,GO:0006508,proteolysis,,,,,,,,,
Lrhomboides00000063,GO:0008237,metallopeptidase activity,,,,,,,,,
Lrhomboides00000063,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000064,GO:0006886,intracellular protein transport,,,,,,,,,
Lrhomboides00000064,GO:0015031,protein transport,,,,,,,,,
Lrhomboides00000064,GO:0016192,vesicle-mediated transport,,,,,,,,,
Lrhomboides00000064,GO:0030117,membrane coat,,,,,,,,,
Lrhomboides00000065,GO:0003007,heart morphogenesis,,,,,,,,,
Lrhomboides00000065,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00000065,GO:0004713,protein tyrosine kinase activity,,,,,,,,,
Lrhomboides00000065,GO:0004714,transmembrane receptor protein tyrosine kinase activity,,,,,,,,,
Lrhomboides00000065,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000065,GO:0005520,insulin-like growth factor binding,,,,,,,,,
Lrhomboides00000065,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000065,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00000065,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,,,,,,,,,
Lrhomboides00000065,GO:0007507,heart development,,,,,,,,,
Lrhomboides00000065,GO:0008354,germ cell migration,,,,,,,,,
Lrhomboides00000065,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000065,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000065,GO:0021522,spinal cord motor neuron differentiation,,,,,,,,,
Lrhomboides00000065,GO:0031076,embryonic camera-type eye development,,,,,,,,,
Lrhomboides00000065,GO:0031101,fin regeneration,,,,,,,,,
Lrhomboides00000065,GO:0043009,chordate embryonic development,,,,,,,,,
Lrhomboides00000065,GO:0043010,camera-type eye development,,,,,,,,,
Lrhomboides00000065,GO:0043027,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,,,,,,,,,
Lrhomboides00000065,GO:0043548,phosphatidylinositol 3-kinase binding,,,,,,,,,
Lrhomboides00000065,GO:0043560,insulin receptor substrate binding,,,,,,,,,
Lrhomboides00000065,GO:0046777,protein autophosphorylation,,,,,,,,,
Lrhomboides00000065,GO:0048009,insulin-like growth factor receptor signaling pathway,,,,,,,,,
Lrhomboides00000065,GO:0048752,semicircular canal morphogenesis,,,,,,,,,
Lrhomboides00000066,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000067,GO:0000149,SNARE binding,,,,,,,,,
Lrhomboides00000067,GO:0005249,voltage-gated potassium channel activity,,,,,,,,,
Lrhomboides00000067,GO:0017075,syntaxin-1 binding,,,,,,,,,
Lrhomboides00000068,GO:0005739,mitochondrion,,,,,,,,,
Lrhomboides00000068,GO:0005743,mitochondrial inner membrane,,,,,,,,,
Lrhomboides00000068,GO:0005751,mitochondrial respiratory chain complex IV,,,,,,,,,
Lrhomboides00000068,GO:0006119,oxidative phosphorylation,,,,,,,,,
Lrhomboides00000068,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",,,,,,,,,
Lrhomboides00000068,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000068,GO:0046872,metal ion binding,,,,,,,,,
Lrhomboides00000069,,,,,,,,,,,
Lrhomboides00000070,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00000071,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00000072,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000072,GO:0030215,semaphorin receptor binding,,,,,,,,,
Lrhomboides00000073,,,,,,,,,,,
Lrhomboides00000074,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00000075,GO:0015067,amidinotransferase activity,,,,,,,,,
Lrhomboides00000076,,,,,,,,,,,
Lrhomboides00000077,GO:0004467,long-chain fatty acid-CoA ligase activity,,,,,,,,,
Lrhomboides00000077,GO:0006699,bile acid biosynthetic process,,,,,,,,,
Lrhomboides00000077,GO:0015245,fatty acid transmembrane transporter activity,,,,,,,,,
Lrhomboides00000077,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000077,GO:0031957,very long-chain fatty acid-CoA ligase activity,,,,,,,,,
Lrhomboides00000078,GO:0003824,catalytic activity,,,,,,,,,
Lrhomboides00000078,GO:0006520,cellular amino acid metabolic process,,,,,,,,,
Lrhomboides00000078,GO:0007268,chemical synaptic transmission,,,,,,,,,
Lrhomboides00000078,GO:0007411,axon guidance,,,,,,,,,
Lrhomboides00000078,GO:0007420,brain development,,,,,,,,,
Lrhomboides00000078,GO:0009416,response to light stimulus,,,,,,,,,
Lrhomboides00000078,GO:0016830,carbon-carbon lyase activity,,,,,,,,,
Lrhomboides00000078,GO:0016831,carboxy-lyase activity,,,,,,,,,
Lrhomboides00000078,GO:0019752,carboxylic acid metabolic process,,,,,,,,,
Lrhomboides00000078,GO:0030170,pyridoxal phosphate binding,,,,,,,,,
Lrhomboides00000079,GO:0004843,thiol-dependent deubiquitinase,,,,,,,,,
Lrhomboides00000079,GO:0006511,ubiquitin-dependent protein catabolic process,,,,,,,,,
Lrhomboides00000079,GO:0016579,protein deubiquitination,,,,,,,,,
Lrhomboides00000080,GO:0004843,thiol-dependent deubiquitinase,,,,,,,,,
Lrhomboides00000080,GO:0006511,ubiquitin-dependent protein catabolic process,,,,,,,,,
Lrhomboides00000080,GO:0016579,protein deubiquitination,,,,,,,,,
Lrhomboides00000081,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00000081,GO:0004707,MAP kinase activity,,,,,,,,,
