#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_475	21682581	52	N	N	1	*	475,155,155,155,156,-155,-155,-155
scaffold_1651	21358251	51	N	N	1	*	1651,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,-4183,??,2229,??,8375,8375,8376,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,8375,8376,8375,8375,8376,8375,8375,8376,8375,8375,8376,-1812,-62,-62,-61,-60,-60,1564
scaffold_1267	19468566	52	N	N	1	*	8834,1267,-6765,-6765,-6767,-6771,-6765,-6765,-6767,-6774,-6773,-6765,-6765,-6765,-6767,-6771,-6765,-6765,-6767,-6770,-8829,-6769,-6773,-6765,-6765,-6767,-6771,-6772,-6771,-6765,-6767,-6770,-8829,-6768,-6767,-6766,-6765,-6767,-6771,-6779,-6773,-6765,-6765,-6780,-6773,-6765,-6765,??,1268,76,76,76,76,68,77
scaffold_982	15764697	51	N	N	1	*	-6572,-2820,-6572,982,-6522,??,-6522,983
contig_1357	15747188	52	N	N	1	*	1357
scaffold_638	14395547	42	N	N	1	*	-3569,-2905,638,-7394,-7394,-7394,??,6824
contig_721	14053046	52	N	N	1	*	721,80,80,80,80
scaffold_2968	13788675	51	N	N	1	*	2968,??,2981,2981,2981,2981,2981,2981,2981,1782
contig_272	13160547	51	N	N	1	*	47,47,47,47,47,47,47,47,272,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
contig_1923	13043373	51	N	N	1	*	-76,-76,-76,-76,-76,-76,-76,-76,1923,4377,4378
scaffold_8718	12829243	52	N	N	1	*	2520,-3501,-1926,2520,-3501,8718,??,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7255,7254,7254,7255,7254,7255,7254,7254,1187,230,230,231,232,233,233,233,233,234,233,233,233,233,233,233,233,233,233
contig_911	12495966	51	N	N	1	*	911,-9,-9,-9,-9,-9,-9
scaffold_5593	11917851	52	N	N	1	*	5593,??,6580,6580,6580,6580,6580,6580,6580,6580,6580,1370,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,290,-46,-46,-46,-46
contig_1739	11468447	52	N	N	1	*	1739,-2522,-462
contig_345	9397809	52	N	N	1	*	114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,-564,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,493,2143,345,*
contig_1240	9025402	52	N	N	1	*	-5334,-5334,-5333,-5332,-5334,-5334,-5334,-5333,-5332,-5334,-5334,-5333,-5332,-8774,-5332,-5334,-5334,-5334,-5333,-5332,5341,-5343,-5338,-5336,5339,1240
contig_1550	8970008	51	N	N	1	*	1550
contig_34	8661765	52	N	N	1	*	34,-1796,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,1797
contig_1594	8624861	52	N	N	1	*	1594,-5344,-5342
scaffold_916	7314341	51	N	N	1	*	1054,916,6298,-6299,6298,-6299,6298,-6299,6298,-6299,6298,??,5313,-62,-62,-62,-61,-60,-60
contig_979	7204220	51	N	N	1	*	979,-2385
contig_1593	7169949	52	N	N	1	*	1593,*
scaffold_1341	6507860	51	N	N	1	*	60,60,60,61,62,62,62,2352,1341,7543,7543,7543,7543,7543,7543,7543,7543,??,8854
scaffold_1955	6060998	58	N	N	1	*	1955,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8452,-8451,-8451,-8452,-8451,-8451,-8451,-8451,-8452,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8452,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,-8451,??,-2558,-1165,-1164,2559
contig_2343	5628211	51	N	N	1	*	3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,-3849,3848,2343
scaffold_8681	5618519	52	N	N	1	*	-8681,??,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,-2823,1772,-2746,-2746,-2745,-2802,-2746,-2745
contig_1177	5573838	52	N	N	1	*	9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1177,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835
contig_671	5422297	51	N	N	1	*	671,8596
contig_2201	5311398	52	N	N	1	*	3393,-1908,1909,3395,2201
