Lrhomboides-Gene-Name,Percent-Identity,E-value,Bit-Score,Query-Coverage-Percent,Match-Ensembl-ID,Gene-Name,Gene-Description
Lrhomboides00000001,85.973,1.77E-132,385,53,ENSSAUG00010008693,,
Lrhomboides00000004,96.026,0,1449,99,ENSSAUG00010000734,MINAR1,membrane integral NOTCH2 associated receptor 1 [Source:NCBI gene;Acc:115580018]
Lrhomboides00000005,79.814,0,674,94,ENSSAUG00010000656,cers3a,ceramide synthase 2-like [Source:NCBI gene;Acc:115580019]
Lrhomboides00000007,82.711,0,854,100,ENSSAUG00010000644,PIP5KL1,phosphatidylinositol 4-phosphate 5-kinase-like protein 1 [Source:NCBI gene;Acc:115579900]
Lrhomboides00000008,90.754,0,780,93,ENSSAUG00010000644,PIP5KL1,phosphatidylinositol 4-phosphate 5-kinase-like protein 1 [Source:NCBI gene;Acc:115579900]
Lrhomboides00000009,88.59,0,1426,100,ENSSAUG00010000625,ano9b,anoctamin-9-like [Source:NCBI gene;Acc:115580878]
Lrhomboides00000011,97.554,0,637,77,ENSSAUG00010000620,slc7a6os,solute carrier family 7 member 6 opposite strand [Source:NCBI gene;Acc:115580527]
Lrhomboides00000012,97.576,0,985,100,ENSSAUG00010000529,slc7a6,Y+L amino acid transporter 2 [Source:NCBI gene;Acc:115580526]
Lrhomboides00000013,83.223,0,1024,90,ENSSAUG00010000500,adgrg1,adhesion G-protein coupled receptor G5-like [Source:NCBI gene;Acc:115580774]
Lrhomboides00000014,89.037,0,632,100,ENSSAUG00010000493,SYAP1,synapse-associated protein 1-like [Source:NCBI gene;Acc:115580452]
Lrhomboides00000015,96.266,3.80E-178,489,100,ENSSAUG00010000488,phospho2,phosphatase; orphan 2 [Source:NCBI gene;Acc:115580453]
Lrhomboides00000020,83.234,0,1071,96,ENSSAUG00010000448,CDH8,cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]
Lrhomboides00000023,83.025,4.56E-178,531,79,ENSSAUG00010002485,adamts18,ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:NCBI gene;Acc:115579788]
Lrhomboides00000024,92.927,0,1585,98,ENSSAUG00010002485,adamts18,ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:NCBI gene;Acc:115579788]
Lrhomboides00000025,87.006,6.48E-73,246,54,ENSSAUG00010002485,adamts18,ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:NCBI gene;Acc:115579788]
Lrhomboides00000026,94.737,0,1173,88,ENSSAUG00010001983,phkb,phosphorylase kinase regulatory subunit beta [Source:NCBI gene;Acc:115580138]
Lrhomboides00000027,91.723,0,834,99,ENSSAUG00010001983,phkb,phosphorylase kinase regulatory subunit beta [Source:NCBI gene;Acc:115580138]
Lrhomboides00000028,99.509,0,1266,100,ENSSAUG00010001940,neto2b,neuropilin and tolloid like 2 [Source:NCBI gene;Acc:115580443]
